2022-10-14T11:45:48	API on port 8001
2022-10-14T11:45:50	ws server start
2022-10-14T11:45:51	::1 user.read(3)
2022-10-14T11:45:51	in user 3
2022-10-14T11:45:51	; 
2022-10-14T11:45:59	::1 country.find()
2022-10-14T11:45:59	; 
2022-10-14T11:46:02	::1 user.read(2)
2022-10-14T11:46:02	in user 2
2022-10-14T11:46:02	; 
2022-10-14T11:46:40	::1 user.read(2)
2022-10-14T11:46:40	in user 2
2022-10-14T11:46:42	::1 country.find()
2022-10-14T11:46:46	::1 country.find(1)
2022-10-14T11:53:59	API on port 8001
2022-10-14T11:54:02	ws server start
2022-10-14T11:54:02	::1 user.read(3)
2022-10-14T11:54:02	in user 3
2022-10-14T11:54:07	::1 country.find(1)
2022-10-14T11:54:09	::1 user.read(2)
2022-10-14T11:54:09	in user 2
2022-10-14T12:21:05	API on port 8001
2022-10-14T12:21:10	ws server start
2022-10-14T12:21:56	API on port 8001
2022-10-14T12:21:57	ws server start
2022-10-14T12:22:02	::1 user.read(2)
2022-10-14T12:22:02	in user 2
2022-10-14T12:27:19	API on port 8001
2022-10-14T12:27:21	ws server start
2022-10-14T12:27:23	::1 user.read(2)
2022-10-14T12:27:23	in user 2
